,wavenumber,absorbance,absorbance_byweight
0,4000.122,-0.0048003162268105415,-0.0005880597226954957
1,3999.64,-0.004852999223399657,-0.0005945136200849907
2,3999.158,-0.004898713049865444,-0.0006001137636681734
3,3998.676,-0.004929803510899,-0.0006039224810588641
4,3998.194,-0.004942720890624641,-0.0006055049165444654
5,3997.712,-0.004938992951286525,-0.000605048227678604
6,3997.23,-0.00492344731325034,-0.0006031438190603498
7,3996.747,-0.004901533557013282,-0.0006004592881238238
8,3996.265,-0.004878591233010265,-0.0005976487531395133
9,3995.783,-0.004857550343238315,-0.0005950711521607585
10,3995.301,-0.004838879575670085,-0.000592783901513111
11,3994.819,-0.004821975654286992,-0.0005907130972470317
12,3994.337,-0.004805253711768542,-0.0005886645861874045
13,3993.855,-0.004788834412924992,-0.0005866531503009799
14,3993.373,-0.004773259801677421,-0.0005847451923376726
15,3992.891,-0.004760083996573128,-0.0005831310986134622
16,3992.408,-0.004750971393288506,-0.0005820147648747264
17,3991.926,-0.004746930303327512,-0.0005815197136886032
18,3991.444,-0.004747553827380124,-0.0005815960981108263
19,3990.962,-0.004751674945884465,-0.0005821009531433599
20,3990.48,-0.004757103769380988,-0.0005827660077541577
21,3989.998,-0.004762640564130671,-0.0005834442893154714
22,3989.516,-0.004767534390310635,-0.0005840438044162133
23,3989.034,-0.004771834333652136,-0.0005845705662730442
24,3988.551,-0.004776923336791805,-0.0005851939914045794
25,3988.069,-0.004784005460751306,-0.0005860615825496083
26,3987.587,-0.004794307444252133,-0.0005873236205642861
27,3987.105,-0.004808313407731801,-0.0005890394123185742
28,3986.623,-0.004826424923455863,-0.0005912581521705034
29,3986.141,-0.004848811412374143,-0.0005940005949270625
30,3985.659,-0.004875561330988432,-0.0005972775768964144
31,3985.177,-0.004907814822791234,-0.0006012287706406065
32,3984.695,-0.004946375738413278,-0.0006059526513759909
33,3984.212,-0.004992105174602801,-0.0006115547072185702
34,3983.73,-0.005044107451023239,-0.0006179252134115873
35,3983.248,-0.005099642670620352,-0.0006247285205882503
36,3982.766,-0.005153939714499178,-0.0006313801458266531
37,3982.284,-0.00520031861252257,-0.0006370617635830482
38,3981.802,-0.005232842628002166,-0.0006410460976602602
39,3981.32,-0.005246733130541692,-0.0006427477449446356
40,3980.838,-0.005241582198233785,-0.0006421167332192636
41,3980.356,-0.005220306015296106,-0.0006395103077991068
42,3979.873,-0.005189945745990077,-0.0006357910420871212
43,3979.391,-0.005158661675695897,-0.000631958606715628
44,3978.909,-0.005134501087457055,-0.0006289988290367034
45,3978.427,-0.005122048493537257,-0.0006274733318441608
46,3977.945,-0.005122517500261048,-0.0006275307872181203
47,3977.463,-0.005133437792483875,-0.000628868570754222
48,3976.981,-0.0051498106587778425,-0.0006308743184503396
49,3976.499,-0.005166799130382427,-0.0006329554804881685
50,3976.016,-0.005181327865304897,-0.000634735314029531
51,3975.534,-0.005192419813217608,-0.0006360941261380482
52,3975.052,-0.005202328267422396,-0.000637307955093621
53,3974.57,-0.005213247475599592,-0.000638645605829394
54,3974.088,-0.0052281247093557415,-0.0006404681320013688
55,3973.606,-0.0052486509598069775,-0.0006429826874135551
56,3973.124,-0.005275248431459878,-0.0006462409939637046
57,3972.642,-0.00530721802854528,-0.0006501574093639499
58,3972.16,-0.005343861152872442,-0.0006546463522819554
59,3971.677,-0.0053848472003115155,-0.0006596673222665557
60,3971.195,-0.005430663817985071,-0.0006652800582220488
61,3970.713,-0.005481828974730707,-0.0006715480135953768
62,3970.231,-0.005538631344551681,-0.0006785065522138966
63,3969.749,-0.005599006330365586,-0.0006859027519094861
64,3969.267,-0.005660593860372765,-0.0006934474935694717
65,3968.785,-0.005717988570153598,-0.0007004785964225291
66,3968.303,-0.00576520930858937,-0.0007062633433096038
67,3967.82,-0.005796542608461408,-0.0007101018095195952
68,3967.338,-0.005808593276766527,-0.0007115780690672942
69,3966.856,-0.00580050403339627,-0.0007105871013917563
70,3966.374,-0.005775031310097933,-0.0007074665814319552
71,3965.892,-0.005739338907944647,-0.0007030941061363967
72,3965.41,-0.005702836254845134,-0.0006986223715578579
73,3964.928,-0.005675023572604632,-0.0006952151963983508
74,3964.446,-0.005664385869916466,-0.0006939120313156046
75,3963.964,-0.0056749929929855725,-0.0006952114502613352
76,3963.481,-0.0057058790406665505,-0.0006989951261227281
77,3962.999,-0.005751299724691461,-0.0007045593584754111
78,3962.517,-0.00580204189760436,-0.000710775496480126
79,3962.035,-0.005849678091884747,-0.0007166111385243598
80,3961.553,-0.005887163503760839,-0.0007212032653492268
81,3961.071,-0.005912154913219947,-0.0007242648222596258
82,3960.589,-0.005926574070009738,-0.0007260312320007069
83,3960.107,-0.005935268921021697,-0.0007270963892598086
84,3959.624,-0.0059447375330509145,-0.0007282563356260739
85,3959.142,-0.0059589761219766,-0.0007300006250144372
86,3958.66,-0.005980015063120181,-0.0007325779872776982
87,3958.178,-0.006007403172200831,-0.0007359331503690728
88,3957.696,-0.006039151715621749,-0.0007398224857290674
89,3957.214,-0.006073858620844863,-0.0007440742333425126
90,3956.732,-0.006111216898748939,-0.0007486507857000327
