,wavenumber,absorbance,absorbance_byweight
0,4000.122,0.00946263545875814,0.0008291393248478121
1,3999.64,0.008946303755015261,0.0007838970747257646
2,3999.158,0.00825181084883031,0.0007230439031272725
3,3998.676,0.00747373429663023,0.0006548669274863073
4,3998.194,0.006722767871054192,0.0005890654076243969
5,3997.712,0.006103219088064105,0.0005347790238914976
6,3997.23,0.005703008458586067,0.0004997115870692101
7,3996.747,0.00556199427283266,0.00048735557829352296
8,3996.265,0.005672583940209641,0.0004970457161566726
9,3995.783,0.005977423417514949,0.0005237564987395465
10,3995.301,0.006398619688888996,0.000560662748969472
11,3994.819,0.0068446869066374205,0.0005997482525136622
12,3994.337,0.007241036733846684,0.0006344773963730162
13,3993.855,0.0075493163874944536,0.0006614896156436267
14,3993.373,0.007757762069400709,0.0006797541374796899
15,3992.891,0.007883692125840502,0.0006907884378529435
16,3992.408,0.007958865313282049,0.0006973752968895824
17,3991.926,0.00801351835092845,0.0007021641300780235
18,3991.444,0.008064178546116185,0.0007066031006182803
19,3990.962,0.008115450711910333,0.0007110956935238537
20,3990.48,0.008155536123615192,0.0007146080756019832
21,3989.998,0.008162972084173159,0.0007152596327018523
22,3989.516,0.008123217127804283,0.0007117762059306629
23,3989.034,0.00802451261226711,0.0007031274742185926
24,3988.551,0.0078657048141475,0.0006892123454907296
25,3988.069,0.007661038605696779,0.0006712789903875348
26,3987.587,0.007430848349485819,0.0006511091556249952
27,3987.105,0.007196385241494241,0.0006305649231107934
28,3986.623,0.006982654075905481,0.0006118372742324695
29,3986.141,0.006805595134257603,0.0005963229355499713
30,3985.659,0.006671619570456366,0.0005845836680910894
31,3985.177,0.006582867513699853,0.0005768069952245635
32,3984.695,0.006533052536319639,0.0005724420847413945
33,3984.212,0.0065107521907004084,0.0005704880737693785
34,3983.73,0.006507558145994352,0.0005702082037392314
35,3983.248,0.006517893970997779,0.0005711138540733733
36,3982.766,0.006539001095963615,0.0005729633121255118
37,3982.284,0.006576077718609019,0.000576212056727566
38,3981.802,0.0066359982956487595,0.0005814624446356449
39,3981.32,0.006724888294256548,0.0005892512043054649
40,3980.838,0.006847193972320698,0.0005999679277571016
41,3980.356,0.007003592921564161,0.0006136719872390306
42,3979.873,0.007187190673745514,0.0006297592725361017
43,3979.391,0.0073899637126428885,0.0006475267434802664
44,3978.909,0.007601655949979413,0.0006660757364649084
45,3978.427,0.007809748398803551,0.0006843093071520558
46,3977.945,0.00800212623170049,0.0007011659246534963
47,3977.463,0.008166911515810504,0.0007156048153628888
48,3976.981,0.008288421228198395,0.0007262517943499637
49,3976.499,0.008349131774677332,0.0007315714013176079
50,3976.016,0.008338570777452592,0.0007306460208412274
51,3975.534,0.008250403748362167,0.0007229206095335128
52,3975.052,0.008091374069984836,0.0007089860391133341
53,3974.57,0.007888557500917548,0.0006912147539489291
54,3974.088,0.0076818716485638205,0.0006731044326940243
55,3973.606,0.007521712692100557,0.0006590709121585403
56,3973.124,0.00744809020708459,0.0006526199294713379
57,3972.642,0.007483887766885466,0.00065575659945021
58,3972.16,0.0076155172847178765,0.0006672903006079137
59,3971.677,0.007802024604876001,0.0006836325293864677
60,3971.195,0.007975493804821765,0.0006988323260976259
61,3970.713,0.008063765441942872,0.0007065669034175273
62,3970.231,0.008018350268104824,0.0007025875145107008
63,3969.749,0.007824656185169587,0.0006856155639529632
64,3969.267,0.007506236948259026,0.0006577148895307841
65,3968.785,0.007125224731408197,0.000624329664704642
66,3968.303,0.006757745725966657,0.000592130253050721
67,3967.82,0.006464787104713654,0.0005664605002114904
68,3967.338,0.006285492477229981,0.0005507502652533149
69,3966.856,0.006226290357637998,0.0005455628303487372
70,3966.374,0.006265475182438696,0.0005489963007937451
71,3965.892,0.006370299134843327,0.0005581812325713096
72,3965.41,0.006510558923004561,0.0005704711391799031
73,3964.928,0.006664853108252711,0.0005839907740788874
74,3964.446,0.006824031090989724,0.0005979383392907597
75,3963.964,0.006983972234906988,0.0006119527745568046
76,3963.481,0.007131965523496708,0.0006249203094384021
77,3962.999,0.007248573644527578,0.000635137798970224
78,3962.517,0.007314481539428819,0.0006409128103524893
79,3962.035,0.007314546360575935,0.0006409184901403656
80,3961.553,0.007253871041519755,0.0006356019698858941
81,3961.071,0.007162517733247276,0.0006275973689822894
82,3960.589,0.007082905316967203,0.0006206215338281551
83,3960.107,0.00705985679442378,0.0006186019657592293
84,3959.624,0.007122602197134897,0.0006240998718201723
85,3959.142,0.00726330928832053,0.0006364289722167192
86,3958.66,0.007443817331392877,0.000652245529624527
87,3958.178,0.007610653862831107,0.0006668641556552502
88,3957.696,0.007707714215773764,0.0006753688218086821
89,3957.214,0.00769869578022786,0.0006745786043695442
90,3956.732,0.007584651365019068,0.0006645857530290266
91,3956.25,0.007391487430427279,0.0006476602553692655
92,3955.768,0.007161742633941648,0.0006275294528802944
93,3955.285,0.006939704208601238,0.0006080739015299966
94,3954.803,0.006751948893823245,0.0005916223204022961
95,3954.321,0.006606176301936717,0.0005788493684118183
96,3953.839,0.0065008123747585245,0.0005696171227203726
97,3953.357,0.006432968921723958,0.0005636725129877468
98,3952.875,0.006404357079530687,0.0005611654732077429
99,3952.393,0.0064348641468092715,0.0005638385772575287
100,3951.911,0.006544139627422174,0.000573413562853528
101,3951.429,0.006743269521598316,0.0005908618125228534
102,3950.946,0.007028362648913822,0.0006158423714941225
103,3950.464,0.007366550990061782,0.0006454752633108829
104,3949.982,0.007709049895977316,0.0006754858573837089
105,3949.5,0.007995399923660385,0.0007005765490475776
