,C1/C2,C3,C4,C5,C6,C7,C8,C9+,Hydrogen,alkanesalkenes,diaromatics,monoaromatics,pyrenes,triaromatics,unassigned,coke
ZY$_{14}$,0.03028274187588966,0.06722586185931735,0.24535871650354846,0.26888719412272033,0.06255501610255498,0.07746236067908219,0.0072033852244219095,0.004512147632130105,0.0014863781782889903,0.8719218763902288,0.041434503122378064,0.16618593221493058,0.004084117007694471,0.007297099436996213,0.03607647182777179,0.13398156162318672
ZY$_{36}$,0.027503852451495423,0.06788833473144944,0.24299949437043605,0.2510642724266944,0.060125625592009325,0.06967872525514215,0.006039495963806461,0.004779256178538689,0.0011263638387267456,1.1533342371156945,0.0448245973208997,0.20378683759584243,0.002309994692008336,0.0047423366606898845,0.03500199661486502,0.09211256016293976
ZY$_{56}$,0.027134744393247347,0.0652698763537743,0.23538039346221948,0.2488969257403613,0.06150783588258831,0.06639994879946778,0.007480901618032579,0.007697129373986976,0.0026720170834932883,0.8387929599177544,0.0362743077435732,0.1663267875577115,0.0037547308406927853,0.005751438884231414,0.02409977505603668,0.09159025881023802
ZY$_{55}$,0.021093729443648068,0.06699514879690903,0.2237868404559112,0.22632065107765914,0.055816978712500354,0.05457234019400417,0.008177470512478942,0.004524018661992286,0.0005812147533675696,1.0553297375574358,0.039919005373502126,0.1835082033145307,0.0030775979098784925,0.005286152293935363,0.04387930355071767,0.048263045294003826
