slope,intercept,r_value,p_value,std_err,C_rel,temperature,file
-0.0011365145694708942,-0.1445536316373479,-0.9986409612906989,0.0,2.0074364955984436e-06,0.39200386705714063,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_1_repro_01.txt
-0.002624041616813644,-0.17000473964656504,-0.9965525463244179,0.0,1.1387704733408128e-05,0.44199454623144235,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_1_repro_02.txt
-0.0012383620517516548,-0.1810557326794392,-0.9975791620273271,0.0,3.079100428977064e-06,0.40072330761677466,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_1_repro_03.txt
-0.0003065437916124181,-0.2832381166988296,-0.99464992567949,0.0,5.818481026008786e-07,0.21470084381168425,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_2_repro_01.txt
-0.00036205982602346883,-0.2712654682405187,-0.9953396925940677,0.0,6.939517353328996e-07,0.2160162887698765,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_2_repro_02.txt
-0.0002777279731207253,-0.2807084155425734,-0.99487122409779,0.0,4.908724590278934e-07,0.2078754124533091,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_2_repro_03.txt
-7.734179708392713e-05,-0.20396070075695583,-0.9947201503148337,0.0,9.632516312277077e-08,0.11039571836015015,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_3_repro_01.txt
-7.112377686133639e-05,-0.22251807780195315,-0.9922482774320865,0.0,1.0708869651053637e-07,0.12259300194420918,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_3_repro_02.txt
-9.218870147143768e-05,-0.2569062432766413,-0.9934639003760302,0.0,1.2622376086838785e-07,0.14141791604438836,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_4_repro_01.txt
-0.0001240062220146462,-0.2696772902288156,-0.9962389258504142,0.0,1.281544102724626e-07,0.14733707790580894,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_4_repro_02.txt
-4.732012946189859e-05,-0.2061195014859687,-0.9887566624950146,0.0,8.636604839490887e-08,0.10710021118526022,230.0,SR_TGA_0093_Z04_P1-001-3_BM_iso230_ratio_4_repro_03.txt
-6.637996466406363e-05,-0.1984339418890755,-0.9950507330521675,0.0,7.988904545633929e-08,0.094213928282414,235.0,SR_TGA_0093_Z04_P1-001-3_BM_iso235_ratio_1_repro_01.txt
-0.0001271488851995127,-0.27162050248496244,-0.99714576588434,0.0,1.1425478865406403e-07,0.14313140970220536,235.0,SR_TGA_0093_Z04_P1-001-3_BM_iso235_ratio_2_repro_01.txt
-0.0002534918215542654,-0.301884006443001,-0.9944558300342741,0.0,4.486160686728735e-07,0.21127833209360386,235.0,SR_TGA_0093_Z04_P1-001-3_BM_iso235_ratio_3_repro_01.txt
-0.0022943150789256858,-0.2924379285702044,-0.9924807075191907,0.0,1.4402002607274514e-05,0.394481633616389,235.0,SR_TGA_0093_Z04_P1-001-3_BM_iso235_ratio_4_repro_01.txt
-0.002619182310393571,-0.21545723071199485,-0.9941835679868208,0.0,1.4954048762790576e-05,0.43668018991640895,240.0,SR_TGA_0093_Z04_P1-001-3_BM_iso240_ratio_1_repro_01.txt
-0.0016935042198587525,-0.18596171669208672,-0.9980887985023303,0.0,4.3764481395690956e-06,0.4204847488547425,240.0,SR_TGA_0093_Z04_P1-001-3_BM_iso240_ratio_1_repro_02.txt
-0.0035102004006323435,-0.16970572196427536,-0.996226580749483,7.72803483078027e-292,1.8508230955261127e-05,0.438755866429413,240.0,SR_TGA_0093_Z04_P1-001-3_BM_iso240_ratio_1_repro_03.txt
-0.00036731949521119617,-0.2874234502103056,-0.9949083886894339,0.0,7.473288055285586e-07,0.20326885487540458,240.0,SR_TGA_0093_Z04_P1-001-3_BM_iso240_ratio_2_repro_01.txt
-0.0004125603243967854,-0.2852644069818057,-0.9948624147300705,0.0,8.932285042301977e-07,0.21625349119261222,240.0,SR_TGA_0093_Z04_P1-001-3_BM_iso240_ratio_2_repro_02.txt
-0.000504104038253511,-0.2789945087030209,-0.9949001554740672,0.0,1.199944298851868e-06,0.22761357627670406,240.0,SR_TGA_0093_Z04_P1-001-3_BM_iso240_ratio_2_repro_03.txt
-0.0001473603231176986,-0.25733844046308507,-0.9972278040471733,0.0,1.3826619772629727e-07,0.1395792145838801,240.0,SR_TGA_0093_Z04_P1-001-3_BM_iso240_ratio_3_repro_01.txt
-0.00017377204752009795,-0.2544008315577933,-0.9974134607863919,0.0,1.7096741678536196e-07,0.146795682339261,240.0,SR_TGA_0093_Z04_P1-001-3_BM_iso240_ratio_3_repro_02.txt
-0.0001371227193191695,-0.2652556883130308,-0.9970867402570326,0.0,1.2760140330335777e-07,0.13902777676748374,240.0,SR_TGA_0093_Z04_P1-001-3_BM_iso240_ratio_3_repro_03.txt
-0.0001888401890221506,-0.263496751006322,-0.9976120832099866,0.0,1.8657659046185857e-07,0.14680356744926254,240.0,SR_TGA_0093_Z04_P1-001-3_BM_iso240_ratio_4_repro_03.txt
-0.00014208745084229684,-0.2493302901805431,-0.9982756916512405,0.0,1.0287268410981098e-07,0.11207534254866554,245.0,SR_TGA_0093_Z04_P1-001-3_BM_iso245_ratio_1_repro_01.txt
-0.0001774546162937057,-0.2731184785058315,-0.9974026618489436,0.0,1.7784698055490142e-07,0.14047189378319883,245.0,SR_TGA_0093_Z04_P1-001-3_BM_iso245_ratio_2_repro_01.txt
