slope,intercept,r_value,p_value,std_err,C_rel,temperature,file
-0.001483937981991265,-0.05930334702027373,-0.9995613366965475,0.0,1.6811685953328522e-06,0.4288913102836713,235.0,SR_TGA_0119_Z09_P1-001-3_BM_iso235_ratio_1_repro_01.txt
-0.001986586182331573,-0.07710874843299176,-0.9997844940709399,0.0,1.8337788733025037e-06,0.4267584005781043,235.0,SR_TGA_0119_Z09_P1-001-3_BM_iso235_ratio_1_repro_02.txt
-0.000862261081739353,-0.09424702741565016,-0.9995862892187801,0.0,7.281500416120221e-07,0.2181458054162101,235.0,SR_TGA_0119_Z09_P1-001-3_BM_iso235_ratio_2_repro_01.txt
-0.0007151245026936923,-0.12201114296687987,-0.9996161456548089,0.0,5.318067209983949e-07,0.19034304482853376,235.0,SR_TGA_0119_Z09_P1-001-3_BM_iso235_ratio_2_repro_02.txt
-0.00044709023456418094,-0.13919790473388438,-0.9995643569868176,0.0,2.803720041123721e-07,0.1536609341703026,235.0,SR_TGA_0119_Z09_P1-001-3_BM_iso235_ratio_3_repro_01.txt
-0.0002202731932992018,-0.13767561404212758,-0.9995548387989834,0.0,9.806532822985467e-08,0.08355131940167788,235.0,SR_TGA_0119_Z09_P1-001-3_BM_iso235_ratio_3_repro_02.txt
-0.001742227072807849,-0.10169208383067674,-0.9994009210451065,0.0,2.52930297679445e-06,0.40868257466032576,240.0,SR_TGA_0119_Z09_P1-001-3_BM_iso240_ratio_1_repro_01.txt
-0.0016331669903265375,-0.07416989236095817,-0.9996690327720866,0.0,1.6947605779566372e-06,0.3914947930737432,240.0,SR_TGA_0119_Z09_P1-001-3_BM_iso240_ratio_1_repro_02.txt
-0.0007692923924636684,-0.13288070830156662,-0.9995187898255147,0.0,6.665263024535155e-07,0.1834767792264005,240.0,SR_TGA_0119_Z09_P1-001-3_BM_iso240_ratio_2_repro_01.txt
-0.000992535809073891,-0.08220528040168984,-0.9994888153758852,0.0,9.994729467713032e-07,0.20313176359261909,240.0,SR_TGA_0119_Z09_P1-001-3_BM_iso240_ratio_2_repro_02.txt
-0.0003793943801794904,-0.1287992451934762,-0.9995560115500863,0.0,2.2141107564359102e-07,0.1275708455638791,240.0,SR_TGA_0119_Z09_P1-001-3_BM_iso240_ratio_3_repro_01.txt
-0.00022294261208414843,-0.119378534066233,-0.9995343974673552,0.0,1.0202049871301258e-07,0.062121266012427324,240.0,SR_TGA_0119_Z09_P1-001-3_BM_iso240_ratio_3_repro_02.txt
-0.0024419766883090515,-0.13164183792348128,-0.9991792727816207,0.0,4.968532471671368e-06,0.42778771665363075,245.0,SR_TGA_0119_Z09_P1-001-3_BM_iso245_ratio_1_repro_01.txt
-0.0019919747848516243,-0.05391684290761489,-0.9994428047031538,0.0,2.9544736770015462e-06,0.45365274665901845,245.0,SR_TGA_0119_Z09_P1-001-3_BM_iso245_ratio_1_repro_02.txt
-0.0007914469884105537,-0.139187646815902,-0.9994965724974413,0.0,7.120076286538258e-07,0.17268715846671226,245.0,SR_TGA_0119_Z09_P1-001-3_BM_iso245_ratio_2_repro_01.txt
-0.001273204075835776,-0.10885647127327103,-0.9994884064987253,0.0,1.4597331983004452e-06,0.20929215126759837,245.0,SR_TGA_0119_Z09_P1-001-3_BM_iso245_ratio_2_repro_02.txt
-0.0006040535825544329,-0.11528438706029931,-0.9995205911599212,0.0,4.6161604594623906e-07,0.1415812918772931,245.0,SR_TGA_0119_Z09_P1-001-3_BM_iso245_ratio_3_repro_01.txt
-0.001309651552783205,-0.11297566155504746,-0.9994233226321798,0.0,1.6193906857839418e-06,0.17412929508582053,245.0,SR_TGA_0119_Z09_P1-001-3_BM_iso245_ratio_3_repro_02.txt
-0.002953979129471266,-0.07504081625717973,-0.9995486844121683,0.0,4.828934101154452e-06,0.4107831646653912,250.0,SR_TGA_0119_Z09_P1-001-3_BM_iso250_ratio_1_repro_01.txt
-0.002190439756418065,-0.053388039691937506,-0.9992064144615193,0.0,4.071204096988085e-06,0.40579547323432863,250.0,SR_TGA_0119_Z09_P1-001-3_BM_iso250_ratio_1_repro_02.txt
-0.0013429003852584746,-0.11071797519071058,-0.9992807158814596,0.0,1.8797484985182098e-06,0.19389237283305064,250.0,SR_TGA_0119_Z09_P1-001-3_BM_iso250_ratio_2_repro_01.txt
-0.0014403092925725156,-0.1147515640139588,-0.9993644129445338,0.0,1.967311794989446e-06,0.19081053399877027,250.0,SR_TGA_0119_Z09_P1-001-3_BM_iso250_ratio_2_repro_02.txt
-0.0005535061612046196,-0.1133558956757924,-0.9993300280601906,0.0,4.79402523852759e-07,0.12377589079390129,250.0,SR_TGA_0119_Z09_P1-001-3_BM_iso250_ratio_3_repro_01.txt
-0.000587739528235197,-0.14187731684571114,-0.9994631575751695,0.0,4.7117266993278254e-07,0.11281889967836174,250.0,SR_TGA_0119_Z09_P1-001-3_BM_iso250_ratio_3_repro_02.txt
-0.006287381314931124,-0.11347981390677797,-0.9982268247467806,1.2934865447889503e-190,3.0211926997427346e-05,0.45973631566044537,255.0,SR_TGA_0119_Z09_P1-001-3_BM_iso255_ratio_1_repro_01.txt
-0.0026029360267197156,-0.08451048019935237,-0.9993943291741618,0.0,4.637271117588656e-06,0.39779529423265186,255.0,SR_TGA_0119_Z09_P1-001-3_BM_iso255_ratio_1_repro_02.txt
-0.0018808191067851818,-0.10064275300921321,-0.9987287100912108,0.0,4.150953556750118e-06,0.23840737575840898,255.0,SR_TGA_0119_Z09_P1-001-3_BM_iso255_ratio_2_repro_01.txt
-0.0018805072175283348,-0.11898209332201848,-0.9991723868167899,0.0,3.3571576176309444e-06,0.2059135140244026,255.0,SR_TGA_0119_Z09_P1-001-3_BM_iso255_ratio_2_repro_02.txt
-0.0008074288579374611,-0.10192640567038935,-0.9991775355200312,0.0,9.354564669683264e-07,0.1334461547561272,255.0,SR_TGA_0119_Z09_P1-001-3_BM_iso255_ratio_3_repro_01.txt
-0.0007127659924019893,-0.10430651626183085,-0.999079709734312,0.0,8.210567546570161e-07,0.10764922549578836,255.0,SR_TGA_0119_Z09_P1-001-3_BM_iso255_ratio_3_repro_02.txt
