,temperature,integral,integral_byweight
0,150.0,4.130926942532974,0.45915074866270106
1,150.0,4.14064455284427,0.4602308568591699
2,150.0,4.141039865473524,0.4602747956874772
3,150.0,4.133889712958135,0.45948005931809466
4,151.0,4.1411309732258665,0.46028492227487006
5,152.0,4.124560161692144,0.4584430837172044
6,154.0,4.113679028944137,0.45723365050353393
7,156.0,4.118195066218463,0.4577356060995396
8,159.0,4.108080838433183,0.4566114140418343
9,162.0,4.097848475905727,0.4554740913584686
10,166.0,4.100012046688075,0.45571457131812887
11,170.0,4.108849665231134,0.45669686880895616
12,173.0,4.091273757210666,0.45474331421012404
13,178.0,4.0828594299707435,0.4538080653651434
14,183.0,4.063205118454485,0.4516234971138331
15,187.0,4.059943980192019,0.45126102300196075
16,192.0,4.057117981216096,0.45094691443418267
17,197.0,4.042633555985431,0.44933697681458135
18,202.0,4.031419767036882,0.44809056900764127
19,207.0,4.016660778549961,0.4464501138004818
20,212.0,3.9991377671445667,0.44450243863760935
21,217.0,3.982730819448584,0.44267881347486054
22,222.0,3.981425427530998,0.44253371972602495
23,226.0,3.9472799020749445,0.43873845929302036
24,232.0,3.914495253277562,0.43509445971390126
25,236.0,3.89617892321391,0.4330586075241934
26,241.0,3.862042483490569,0.42926435696646253
27,245.0,3.83711253657986,0.4264934041155862
28,250.0,3.808589518350405,0.4233230829367411
29,254.0,3.785213840669544,0.4207248864406578
30,258.0,3.7490010651653525,0.4166998520560728
31,263.0,3.7202126593027125,0.41350003315621786
32,267.0,3.684721702424513,0.4095552286007084
33,271.0,3.6494656882586876,0.40563653782638653
34,275.0,3.616683971429113,0.4019928641342252
35,279.0,3.578750146544842,0.3977765358530543
36,283.0,3.5377628499217977,0.39322081550458654
37,287.0,3.5017342132079174,0.3892162480671554
38,291.0,3.4584631184219488,0.384406684537511
39,295.0,3.430335378433076,0.3812802983646871
40,299.0,3.3837596504813194,0.3761034262834185
41,303.0,3.3411170808181256,0.37136372305018933
42,307.0,3.2953522885994766,0.3662769861260303
43,311.0,3.2471756209730116,0.3609221702901439
44,315.0,3.2046046785234323,0.3561904283908268
45,318.0,3.1571229995993026,0.35091286024956886
46,322.0,3.1127285510225366,0.3459784364303979
47,326.0,3.0742414443230714,0.34170061111400896
48,329.0,3.040780837531679,0.33798147909528686
49,333.0,2.997312616227273,0.3331500050381069
50,337.0,2.955992226962872,0.3285572615861612
51,341.0,2.9137856741272183,0.3238660214353298
52,345.0,2.8724947896690427,0.3192765574298755
53,349.0,2.8381602188733503,0.3154602846888746
54,353.0,2.791662197793352,0.31029204969289953
55,357.0,2.7509992221190145,0.30577237747805347
56,361.0,2.7105272814893455,0.30127393872605984
57,365.0,2.674211586659635,0.29723746490281583
58,369.0,2.6259729002185623,0.2918757557024244
59,372.0,2.5937438866970335,0.2882935147446609
60,376.0,2.5524254655756637,0.2837009900509647
61,380.0,2.5088956105345988,0.27886266543052773
62,384.0,2.461130253251699,0.27355356656199703
63,388.0,2.4143129283215137,0.26834984108073767
64,392.0,2.3718795496772267,0.2636333893390698
65,396.0,2.323740683679932,0.258282775137968
66,400.0,2.274476244676643,0.2528070539825272
67,404.0,2.241211341446288,0.24910967433023914
68,408.0,2.196881212281529,0.2441823995859822
69,412.0,2.1499393853525413,0.23896483576123353
70,416.0,2.1038228519763473,0.23383900295906243
71,420.0,2.0601817271350464,0.22898831074830184
72,423.0,2.014433906511661,0.22390346020963933
73,428.0,1.9655648781634927,0.2184716887780386
74,431.0,1.9189371084676994,0.21328903227935747
75,435.0,1.870556922242153,0.20791159543892776
76,439.0,1.825971569899712,0.2029559527485079
77,443.0,1.7775297792239586,0.19757166859999767
78,447.0,1.719936674375612,0.19117021982668359
79,451.0,1.665036235416727,0.1850680597060724
80,455.0,1.607164907844364,0.17863568659693632
81,459.0,1.5478594213000407,0.17204390733638736
82,463.0,1.4932707036481079,0.165976394904649
83,467.0,1.4382150352375864,0.15985698109741375
84,471.0,1.3937009140135517,0.15490925571509429
85,475.0,1.3294829700926973,0.14777145893509125
86,479.0,1.2738149899396136,0.1415839869416611
87,482.0,1.2243922691913494,0.13609067283850762
88,486.0,1.1727043010354423,0.130345577462629
89,490.0,1.1232240427571252,0.12484586808781674
90,494.0,1.0582069764934328,0.11761924920393932
91,498.0,1.0027509652118565,0.11145533745918938
92,500.0,0.9544021818854367,0.10608139103745859
