,Filename,m_polymer,m_cat,coke_yield,P/C ratio,Tmax,T50
0,SR_TGA_0084_Z03p_P1-001-3-BM_ratio_01.txt,4.542887,9.029387,0.060129824932911656,0.5031224157298829,216.91,216.82
1,SR_TGA_0084_Z03p_P1-001-3-BM_ratio_02.txt,4.8374619999999995,4.345076,0.031132234217033643,1.1133204574557498,228.15,220.88
2,SR_TGA_0084_Z03p_P1-001-3-BM_ratio_03.txt,4.829339,2.797257,0.020001495028615732,1.7264552381136233,230.76,222.83
3,SR_TGA_0084_Z03p_P1-001-3-BM_ratio_04.txt,4.643729,2.059103,0.014601627269808386,2.2552193843629973,241.04,228.1
4,SR_TGA_0084_Z03p_P1-001-3-BM_ratio_05.txt,4.667351,1.285499,0.009808990153086835,3.6307698411278424,259.28,243.68
5,SR_TGA_0084_Z03p_P1-001-3-BM_ratio_06.txt,4.611543,1.021615,0.007945063073249038,4.513973463584619,270.04,250.43
6,SR_TGA_0084_Z03p_P1-001-3-BM_ratio_07.txt,4.392422,0.719902,0.005865328968846796,6.101416581701398,280.68,261.24
7,SR_TGA_0084_Z03p_P1-001-3-BM_ratio_08.txt,4.7673440000000005,0.570525,0.0056605942428320805,8.35606502782525,296.35,273.0
