,Filename,m_polymer,m_cat,coke_yield,P/C ratio,Tmax,T50
0,SR_TGA_0083_Z02p_P1-001-3-BM_ratio_01.txt,4.802657999999999,8.478984,0.03922744446929162,0.5664190426588844,229.72,227.21
1,SR_TGA_0083_Z02p_P1-001-3-BM_ratio_02.txt,4.685263000000001,4.151548,0.020065255675081644,1.1285580703872389,237.65,230.31
2,SR_TGA_0083_Z02p_P1-001-3-BM_ratio_03.txt,4.6032150000000005,2.614673,0.013534019158349113,1.7605318141121282,245.01,234.58
3,SR_TGA_0083_Z02p_P1-001-3-BM_ratio_04.txt,4.7976280000000004,2.01434,0.00981193206309457,2.381736946096489,252.73,241.62
4,SR_TGA_0083_Z02p_P1-001-3-BM_ratio_05.txt,4.624357,1.46414,0.00810685680192946,3.158411763902359,265.71,254.36
5,SR_TGA_0083_Z02p_P1-001-3-BM_ratio_06.txt,4.626803,0.956358,0.0048556206088739865,4.837940394705748,284.33,267.14
6,SR_TGA_0083_Z02p_P1-001-3-BM_ratio_07.txt,4.677956,0.749574,0.004330310075597137,6.240819452115469,297.23,277.38
7,SR_TGA_0083_Z02p_P1-001-3-BM_ratio_08.txt,4.605426,0.551015,0.003239874009483588,8.358077366314891,306.94,286.76
